"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
10,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
10,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
10,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
10,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
10,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
10,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
10,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
11,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
11,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
11,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
11,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
11,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
11,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
11,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
12,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
12,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
12,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
12,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
12,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
12,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
12,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
13,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
13,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
13,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
13,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
13,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
13,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
13,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
14,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
14,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
14,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
14,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
14,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
14,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
14,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
15,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
15,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
15,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
15,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
15,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
15,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
15,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
16,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
16,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
16,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
16,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
16,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
16,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
16,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
